,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation
0,"Inner Mission & Castro PUMA, CA",96420.97313425514,Surgeons,572399.8156682028,282720.32402206364
1,"Battery Park City, Greenwich Village & Soho PUMA, NY",94839.24675020618,Dentists,668644.0,127707.80053807772
2,"Chelsea, Clinton & Midtown Business District PUMA, NY",91590.64899806688,Other financial specialists,668644.0264900662,98080.72862112064
3,"Cupertino, Saratoga Cities & Los Gatos Town PUMA, CA",85380.08458382454,Industrial production managers,572399.8032786886,77305.98243070339
4,"Essex County (Northwest) PUMA, NJ",84129.6441042232,Insurance sales agents,645342.8387096775,53854.68649385349
5,"Upper East Side PUMA, NY",83596.41584432815,Dentists,668644.0,127707.80053807772
6,"San Mateo (North), Burlingame & Millbrae Cities PUMA, CA",82797.71345682516,"Models, demonstrators, & product promoters",572399.8,12089.157200194966
7,"Stamford & Greenwich Towns PUMA, CT",82281.4443704398,Surgeons,727403.649122807,282720.32402206364
8,"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, MA",82112.13386872223,Other financial specialists,628120.1403508772,98080.72862112064
9,"Murray Hill, Gramercy & Stuyvesant Town PUMA, NY",81814.06033443112,Personal financial advisors,543641.5418326693,110943.36940078795
10,"Summit City & Westfield Town (North) PUMA, NJ",81615.63214579703,Surgeons,645342.8461538461,282720.32402206364
11,"Menlo Park, East Palo Alto Cities & Atherton Town PUMA, CA",81601.58488491713,"Miscellaneous social scientists, including survey researchers & sociologists",572399.8064516129,47658.99585933047
12,"Tenafly, Park Ridge & Cresskill Boroughs PUMA, NJ",81314.84959154473,Supervisors of transportation & material moving workers,645342.8148148148,46180.44061832814
13,"Westchester County (Southeast) PUMA, NY",80710.40334463799,"Purchasing agents, except wholesale, retail, & farm products",668644.0,52067.00708327911
14,"Rancho Santa Margarita City (East) & Ladera Ranch PUMA, CA",80663.2765740853,Firstline supervisors of housekeeping & janitorial workers,572399.8356164383,30437.467101766862
15,"Upper West Side & West Side PUMA, NY",80080.9983558852,Technical writers,668644.0,56772.363575088
16,"Somerset County (North & West) PUMA, NJ",80061.5730840267,Network and computer systems administrators,645342.8235294118,70080.64245976007
17,"Westchester County (Northeast) PUMA, NY",80053.90482329747,Insurance underwriters,668644.0347826087,65638.00450135449
18,"San Ramon City & Danville Town PUMA, CA",79943.66277976746,Other financial specialists,410953.7230769231,98080.72862112064
19,"Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA, CA",79562.41832709611,Computer hardware engineers,572399.8214285715,91131.80557198216
20,"Calabasas, Agoura Hills, Malibu & Westlake Village Cities PUMA, CA",77865.3137590791,"Business operations specialists, all other",572399.8315789474,60104.46884870296
21,"Mountain View, Palo Alto & Los Altos Cities PUMA, CA",77753.32438751844,Compensation & benefits managers,572399.8214285715,78976.88495217955
22,"Essex County (Southwest) PUMA, NJ",77648.29324276751,Database administrators and architects,395107.8571428572,79421.41349617914
23,"Ridgewood Village, Glen Rock & Westwood Boroughs PUMA, NJ",76925.56756679791,"Farmers, ranchers, & other agricultural managers",645342.8059701492,20768.158865386376
24,"Bethesda, Potomac & North Bethesda PUMA, MD",76245.88779992929,Natural sciences managers,430404.731884058,87041.6083510504
25,"McLean & Idylwood PUMA, VA",75381.8200066657,Fundraisers,506548.5,52283.03605469805
26,"Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA, VA",75356.62902944355,Other financial specialists,506548.5,98080.72862112064
27,"Redwood City, San Carlos & Belmont Cities PUMA, CA",75298.36841625738,Social & human service assistants,572399.8153846153,30698.30014742825
28,"Morristown Town, Madison & Florham Park Boroughs PUMA, NJ",75094.22230045332,Social & community service managers,645342.7951807228,53910.81155826022
29,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA, CA",75005.43374456496,Optometrists,572399.802955665,91038.6455644665
30,"Olney, Damascus, Clarksburg & Darnestown PUMA, MD",74296.12908940659,Lodging managers,508574.701754386,44643.67056716537
31,"North Hempstead Town (North) PUMA, NY",74006.63664057566,Economists,668644.0,114682.51872642573
32,"South of I-10 & Inside Loop I-610 PUMA, TX",73466.21680135235,Nurse anesthetists,474129.4117647059,137847.88905761446
33,"Northfield & New Trier Townships PUMA, IL",73089.08397737343,Cardiovascular technologists and technicians,550111.7108433734,76805.666221549
34,"San Rafael (South), Mill Valley & Sausalito Cities PUMA, CA",72953.07222254369,Surgeons,572399.8275862068,282720.32402206364
35,"Arlington County (North) PUMA, VA",72639.42967169489,Credit counselors & loan officers,506548.4979253112,67871.33144378143
36,"Fairfield, New Canaan, Wilton, Weston & Easton Towns PUMA, CT",72551.26217137753,Financial analysts,483209.8983240224,99633.71762472302
37,"Brooklyn Heights & Fort Greene PUMA, NY",72447.81439558789,Actuaries,668644.0,131082.8818200338
38,"Somerset County (South) PUMA, NJ",72381.27126410963,Surgeons,645342.8333333334,282720.32402206364
39,"North Hempstead Town (South) PUMA, NY",72348.94943828655,Nuclear medicine technologists and medical dosimetrists,668644.0,132946.1370184876
40,"Livermore, Pleasanton & Dublin Cities PUMA, CA",72040.8754198538,Surgeons,572399.8235294118,282720.32402206364
41,"Palos Verdes Peninsula PUMA, CA",71935.46268368978,Other financial clerks,572399.8181818182,76459.69278730197
42,"San Mateo (South) & Half Moon Bay Cities PUMA, CA",71741.51203630533,Healthcare social workers,572399.8260869565,40489.77443785951
43,"New Rochelle & Mount Vernon Cities PUMA, NY",71734.62892843327,Credit counselors & loan officers,668644.0,67871.33144378143
44,"Ramsey, Oakland & Franklin Lakes Boroughs PUMA, NJ",71359.22151769914,Other financial specialists,645342.8148148148,98080.72862112064
45,"Norwalk, Westport & Darien Towns PUMA, CT",71165.25610002218,Magnetic resonance imaging technologists,727403.6417910447,100650.60025262598
46,"Oyster Bay Town (North) & Glen Cove City PUMA, NY",71060.09220329262,Advertising sales agents,668644.0,59021.9754631948
47,"Smithtown Town PUMA, NY",70766.67441961475,Social & community service managers,668644.0,53910.81155826022
48,"Huntington Town (North) PUMA, NY",70718.50627183415,Purchasing managers,354583.9413919414,74013.09656763387
49,"Oakland (East) & Piedmont Cities PUMA, CA",70636.6564366036,Industrial production managers,572399.8356164383,77305.98243070339
50,"Richmond District PUMA, CA",70278.82802755553,Dietitians & nutritionists,572399.8333333334,39096.582625035946
51,"North Beach & Chinatown PUMA, CA",70231.45445167212,Credit counselors & loan officers,572399.8235294118,67871.33144378143
52,"Plymouth, Maple Grove (West) & Medicine Lake Cities PUMA, MN",70146.56110827973,Insurance claims & policy processing clerks,493378.25,35227.90167829536
53,"South of Market & Potrero PUMA, CA",70107.49341534742,Chemists & materials scientists,572399.7908496732,71654.08234075189
54,"Fulton County (North)Sandy Springs City PUMA, GA",70003.40847871263,Lodging managers,477168.6917293233,44643.67056716537
55,"Park Slope, Carroll Gardens & Red Hook PUMA, NY",69738.51027857843,Financial analysts,401763.2189781022,99633.71762472302
56,"Austin City (Northwest) PUMA, TX",69482.55704354377,Architectural & engineering managers,474129.41843971633,134098.2588754237
57,"White Plains City PUMA, NY",69475.64794262938,Surgeons,668644.0,282720.32402206364
58,"Tinton Falls Borough (South) PUMA, NJ",69450.71115225399,Advertising & promotions managers,645342.8307692307,68524.37743676595
59,"Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA, WA",69408.86731382417,Economists,527823.5443037974,114682.51872642573
60,"Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA, NY",69383.19252296904,Musicians and singers,668644.0,16029.08324698749
61,"San Jose City (Southwest/Almaden Valley) PUMA, CA",68823.65316616012,"Healthcare support workers, all other, including medical equipment preparers",325204.131147541,24128.41562454649
62,"Middlesex County (Southwest) PUMA, NJ",68771.33354837456,"Securities, commodities, & financial services sales agents",386539.6170212766,116457.02855852002
63,"Sunnyvale & San Jose (North) Cities PUMA, CA",68513.00602733273,Firstline supervisors of nonretail sales workers,368480.4362244898,70776.29211066732
64,"Charlotte City (South) PUMA, NC",68100.37494100026,Economists,418409.0693069307,114682.51872642573
65,"Columbia (West) & Ellicott City (Northwest) PUMA, MD",68088.41418316089,"Power plant operators, distributors, & dispatchers",508574.6842105263,77072.03539917499
66,"Bucks County (Central) PUMA, PA",67886.34556099286,"Securities, commodities, & financial services sales agents",492365.1666666667,116457.02855852002
67,"Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA, WA",67803.0976545066,Flight attendants,527823.5833333334,41477.25663697701
68,"District of Columbia (West) PUMA, DC",67580.11672121586,Personal financial advisors,676748.8421052631,110943.36940078795
69,"Westchester County (Northwest) PUMA, NY",67462.34897384037,Surgeons,668644.0,282720.32402206364
70,"San Jose City (South Central/Branham) & Cambrian Park PUMA, CA",67448.23138687441,Personal financial advisors,572399.8113207547,110943.36940078795
71,"LA City (Central/Pacific Palisades) PUMA, CA",67319.43769034385,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",572399.8113207547,78440.25824818271
72,"Lake View & Lincoln Park PUMA, IL",67219.48135548702,Other financial specialists,550111.7073170731,98080.72862112064
73,"Eden Prairie & Minnetonka Cities PUMA, MN",66903.10059281014,Other financial specialists,493378.2716049383,98080.72862112064
74,"Morris County (West) PUMA, NJ",66888.60153150432,Floral designers,645342.8196721311,19378.37092044049
75,"Carmel City & Fishers Town (West) PUMA, IN",66846.36670590458,Surgeons,417395.973063973,282720.32402206364
76,"Santa Monica City PUMA, CA",66770.88440924932,"Miscellaneous engineers, including nuclear engineers",572399.801980198,86422.79194750793
77,"Princeton Borough PUMA, NJ",66550.0719410763,"Wholesale & retail buyers, except farm products",645342.8282828283,34179.94080459817
78,"South San Francisco, San Bruno & Brisbane Cities PUMA, CA",66544.36764493799,"Models, demonstrators, & product promoters",572399.8125,12089.157200194966
79,"Concord (South), Walnut Creek (East) & Clayton Cities PUMA, CA",66488.64956114731,Surgeons,572399.8333333334,282720.32402206364
80,"Union City, Newark & Fremont (West) Cities PUMA, CA",66481.71023061586,Detectives & criminal investigators,572399.7966101695,69472.63203857554
81,"Gilroy, Morgan Hill & San Jose (South) Cities PUMA, CA",66270.20790528745,Physicians,572399.8309859155,206831.79290917717
82,"Greater Bellevue City PUMA, WA",66257.86602008663,Surgeons,527823.5681818182,282720.32402206364
83,"San Jose (West Central) & Campbell Cities PUMA, CA",66220.63750629548,"Architects, except landscape and naval",358168.30409356725,77911.62260282584
84,"Arlington County (South) PUMA, VA",66173.72075223578,"Architects, except landscape and naval",287310.41025641025,77911.62260282584
85,"Middlesex (West Central) & Worcester (East) Counties PUMA, MA",66114.35058805492,Computer network architects,628120.1194029851,95432.99220300168
86,"Phoenixville Borough PUMA, PA",66009.91743943751,Actuaries,492365.1743119266,131082.8818200338
87,"Freehold Borough PUMA, NJ",65903.39113428601,Compliance officers,645342.7894736842,68567.09218929497
88,"San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA, CA",65891.80801282501,General & operations managers,304350.5915279879,78932.01272296738
89,"Flower Mound Town & Highland Village City PUMA, TX",65724.84687090042,Lodging managers,474129.4222222222,44643.67056716537
90,"Frisco City (East) & Prosper Town PUMA, TX",65605.58229175564,Private detectives & investigators,474129.4074074074,49400.32033046294
91,"Leesburg Town PUMA, VA",65382.31033121081,"Sales representatives, wholesale & manufacturing",364714.9158163265,67929.48572119647
92,"Greenpoint & Williamsburg PUMA, NY",65343.02422741153,Financial analysts,434435.2484662577,99633.71762472302
93,"Monmouth County (Central) PUMA, NJ",65330.160903941694,"Bookkeeping, accounting, & auditing clerks",645342.8,29528.559522344254
94,"Vienna Town, Oakton & Fair Oaks (East) PUMA, VA",65233.12212291977,Other Sales Workers,353395.7407407408,46439.11797243441
95,"Watertown Town City, Arlington, Belmont & Winchester Towns PUMA, MA",65230.63061925329,Financial analysts,478148.5573770492,99633.71762472302
96,"Oyster Bay Town (South) PUMA, NY",64944.033634534426,Sales engineers,668644.0,108780.47602985433
97,"Montgomery County (South)The Woodlands (North) PUMA, TX",64699.70880708167,Other designers,474129.4137931034,53254.28081265958
98,"San Jose City (Southeast/Evergreen) PUMA, CA",64555.20107533249,Financial managers,363108.32835820894,92038.95558870002
99,"Coral Gables City, Pinecrest Village & Kendall (South) PUMA, FL",64553.07756803855,Cost estimators,482234.1846153846,58963.60741807346
100,"Fulton County (Northeast)Johns Creek City PUMA, GA",64511.74287164055,Nuclear medicine technologists and medical dosimetrists,477168.69696969696,132946.1370184876
101,"San Jose City (Central) PUMA, CA",64359.5818599361,Compliance officers,572399.8297872341,68567.09218929497
102,"Sunset District (North) PUMA, CA",64338.280331727605,Diagnostic medical sonographers,572399.8192090396,73862.48732493505
103,"Plainfield City & Westfield Town (South) PUMA, NJ",64316.83828416945,Computer & information systems managers,273890.0996309963,102527.2721576413
104,"Reston (North) & Franklin Farm PUMA, VA",64316.047962649754,Interior designers,351327.5642857143,36057.52256948615
105,"Linton Hall & Gainesville PUMA, VA",64216.68770064227,Physician assistants,506548.5106382979,92251.10058815022
106,"Ringwood, Wanaque & Pompton Lakes Boroughs PUMA, NJ",64172.75145291626,"Claims adjusters, appraisers, examiners, & investigators",645342.8275862068,50551.26477380682
107,"Burlington County (West Central) PUMA, NJ",64101.00650811214,Other financial specialists,645342.8108108108,98080.72862112064
108,"Plano City (West) PUMA, TX",63996.848964449855,Physicians,349675.82016348775,206831.79290917717
109,"Fulton County (Central)Atlanta City (North) PUMA, GA",63901.25080324203,"Heating, air conditioning, & refrigeration mechanics & installers",477168.701754386,38378.79207938513
110,"Red Bank & Tinton Falls (North) Boroughs PUMA, NJ",63889.83823517691,Podiatrists,645342.7899159663,112776.64908379482
111,"Brazoria County (North)Pearland City PUMA, TX",63853.50802768334,"Petroleum, mining & geological engineers, including mining safety engineers",474129.4205607477,121965.87102455912
112,"Grapevine, Southlake & Colleyville Cities PUMA, TX",63826.716478282004,Producers & directors,474129.4117647059,65061.10863708074
113,"Near North Side, Loop & Near South Side PUMA, IL",63772.01927534086,Aircraft pilots & flight engineers,293798.13333333336,115613.87787785068
114,"Hunterdon County PUMA, NJ",63691.76254745042,Surgeons,645342.8205128205,282720.32402206364
115,"Sterling & Ashburn (Northeast/Ashburn Village) PUMA, VA",63655.93028204492,"Securities, commodities, & financial services sales agents",506548.5090909091,116457.02855852002
116,"Putnam County PUMA, NY",63336.199111356094,Industrial production managers,434850.7708333333,77305.98243070339
117,"San Diego City (Northwest/Del Mar Mesa) PUMA, CA",63223.73343892922,"Doortodoor sales workers, news & street vendors, & related workers",572399.8260869565,12001.064758249571
118,"Huntington Town (South) PUMA, NY",63162.05468264936,Training & development specialists,668644.0,51927.48752447238
119,"Edina, St. Louis Park & Hopkins Cities PUMA, MN",63107.622362832335,Industrial production managers,493378.24,77305.98243070339
120,"Haddonfield Borough PUMA, NJ",63016.06578562491,Surgeons,645342.7894736842,282720.32402206364
121,"Fremont City (East) PUMA, CA",62975.04779980712,Industrial production managers,315073.16049382713,77305.98243070339
122,"DeKalb County (North)Dunwoody City PUMA, GA",62958.01460264433,Other financial clerks,477168.6808510638,76459.69278730197
123,"Blue Valley Region PUMA, KS",62939.904637437525,Surgeons,444749.60544217686,282720.32402206364
124,"Sunset District (South) PUMA, CA",62755.853869457475,"Business operations specialists, all other",572399.8072289156,60104.46884870296
125,"East of TX-6 & West of Beltway TX-8 PUMA, TX (79500US4804636)",62685.96010750929,Surgeons,474129.4193548387,282720.32402206364
126,"Raleigh City (Northwest) & Morrisville Town PUMA, NC",62553.88733440303,Financial analysts,418409.06666666665,99633.71762472302
127,"Baltimore County (Outer) PUMA, MD",62529.666724787305,Nuclear medicine technologists and medical dosimetrists,508574.7,132946.1370184876
128,"Minneapolis City (Southwest) PUMA, MN",62468.734023633355,Surgeons,493378.25,282720.32402206364
129,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804613)",62447.50159404625,Surgeons,474129.39130434784,282720.32402206364
130,"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA, MA",62441.28614092809,Firstline supervisors of food preparation & serving workers,628120.1073825504,23221.954729882906
131,"Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA, CA",62431.76923520165,Podiatrists,572399.8309859155,112776.64908379482
132,"Apex & Holly Springs Towns PUMA, NC",62422.96088010775,Surgeons,418409.0526315789,282720.32402206364
133,"San Gabriel Valley Region (North) PUMA, CA",62403.03049697005,Insurance sales agents,572399.8148148148,53854.68649385349
134,"Pasadena City PUMA, CA",62385.2330258602,Surgeons,572399.8245614035,282720.32402206364
135,"Danbury, Ridgefield, Bethel, Brookfield, New Fairfield, Redding & Sherman Towns PUMA, CT",62158.580882726405,Other financial specialists,727403.6363636364,98080.72862112064
136,"Keansburg Borough PUMA, NJ",62142.64967937873,Chief executives & legislators,451545.25440806046,141283.83645852594
137,"St. Charles, Batavia (Central) & Geneva (Central) Townships PUMA, IL",62127.06227842095,Couriers & messengers,550111.6712328767,25455.23543415416
138,"Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA, WA",62104.8366323646,Diagnostic medical sonographers,314520.5882352941,73862.48732493505
139,"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA, MA",62103.86554161165,Education administrators,628120.1355932204,61611.01116745079
140,"Islip Town (South) PUMA, NY",62097.24502966411,Insurance claims & policy processing clerks,668644.0,35227.90167829536
141,"San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA, CA",62071.787253597446,"Television, video, & motion picture camera operators & editors",572399.8202247191,38307.65295374869
142,"San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA, CA",62070.78369186378,Surgeons,572399.8148148148,282720.32402206364
143,"Warren, Libertyville (North & East) & Shields Townships PUMA, IL",62059.485833517574,Information security analysts,550111.7037037037,99255.28312032484
144,"Hempstead Town (Northwest) PUMA, NY",61789.22258505123,Broadcast announcers and radio disc jockeys,668644.0,47494.13361466179
145,"Jersey City (North) PUMA, NJ",61754.83029264661,Chemists & materials scientists,645342.8468468469,71654.08234075189
146,"Central Harlem PUMA, NY",61742.04179645152,Physician assistants,668644.0,92251.10058815022
147,"Vernon, Moraine, West Deerfield & Libertyville (Southeast) Townships PUMA, IL",61707.89587489432,Broadcast announcers and radio disc jockeys,550111.7,47494.13361466179
148,"Severna Park, Arnold & Lake Shore PUMA, MD",61691.425815931114,Environmental engineers,508574.6666666667,71953.92582655714
149,"Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA, CT",61688.292657153776,Producers & directors,727403.6111111111,65061.10863708074
150,"Forest Hills & Rego Park PUMA, NY",61558.32619320841,Landscaping and groundskeeping workers,668643.9768786128,15733.041414996618
151,"Centreville (Southeast) & Lorton PUMA, VA",61542.52921035494,Veterinarians,506548.4923076923,84868.11662911795
152,"Springfield (South), West Springfield & Franconia PUMA, VA",61445.31808328012,Physicians,241813.80398671096,206831.79290917717
153,"Fulton County (Northwest)Roswell City PUMA, GA",61439.146991351394,Insurance sales agents,356112.8090909091,53854.68649385349
154,"Queen Anne & Magnolia PUMA, WA",61395.38379230838,Other financial clerks,527823.5717761557,76459.69278730197
155,"Dover Town & Kinnelon Borough PUMA, NJ",61375.40625733987,Personal financial advisors,377441.6108108108,110943.36940078795
156,"Alexandria City PUMA, VA",61358.37135350757,Sales managers,288858.2396694215,106611.873312147
157,"LA (Southwest/Marina del Rey & Westchester) & Culver City Cities PUMA, CA",61325.03845897477,Surgeons,572399.8125,282720.32402206364
158,"Bergenfield, Paramus, Dumont & New Milford Boroughs PUMA, NJ",61220.543486936964,Cardiovascular technologists and technicians,645342.8210526316,76805.666221549
159,"Hempstead Town (Southeast) PUMA, NY",61064.297934589726,Other Sales Workers,323596.8872180451,46439.11797243441
160,"Hempstead Town (Southwest) & Long Beach City PUMA, NY",61048.924943796155,Industrial production managers,430544.096069869,77305.98243070339
161,"Oyster Bay Town (Central) PUMA, NY",61041.54638884893,Insurance underwriters,668643.9689922481,65638.00450135449
162,"Franklin & Brentwood Cities PUMA, TN",61029.037356200686,Radiologic technologists and technicians,445762.69696969696,56736.64149052558
163,"Union City & Hoboken Cities PUMA, NJ",61015.11082156083,Advertising sales agents,293598.055,59021.9754631948
164,"Carver & Scott (West) Counties PUMA, MN",60949.23399246878,"Securities, commodities, & financial services sales agents",493378.2545454545,116457.02855852002
165,"Newton City & Brookline Town PUMA, MA",60805.95912068409,Credit counselors & loan officers,628120.1111111111,67871.33144378143
166,"Loveland, Montgomery Cities & Forestville PUMA, OH",60757.48347976573,Physician assistants,437657.91549295775,92251.10058815022
167,"St. Louis County (Central) PUMA, MO",60647.34334044487,Surgeons,421448.3387096774,282720.32402206364
168,"Billerica, Andover, Tewksbury & Wilmington Towns PUMA, MA",60637.15403227187,Dentists,347557.62211981567,127707.80053807772
169,"Far Rockaway, Breezy Point & Broad Channel PUMA, NY",60611.70957755694,Market research analysts & marketing specialists,668644.0,67737.87609580542
170,"Lincoln Park Borough PUMA, NJ",60520.7372676656,Pharmacists,393450.0606060606,88632.34688145593
171,"Birmingham & Bloomfield Area PUMA, MI",60456.775230010615,Compliance officers,432592.4166666667,68567.09218929497
172,"Thousand Oaks City PUMA, CA",60453.957518279836,Aircraft pilots & flight engineers,486286.5754716981,115613.87787785068
173,"Logan Square, Avondale & Hermosa PUMA, IL",60438.87857153586,Stationary engineers & boiler operators,550111.6981132076,52943.046979418286
174,"Greater Franklin Town City PUMA, MA",60329.95017108653,Physician assistants,628120.1032258065,92251.10058815022
175,"Peninsula Region & Tacoma City (West) PUMA, WA",60280.851694031866,Dentists,527823.5851851852,127707.80053807772
176,"Downers Grove Township PUMA, IL",60237.865338563395,Physicians,378397.656457215,206831.79290917717
177,"Denver City (South Central) PUMA, CO",60209.00822838911,Aircraft pilots & flight engineers,504522.3376623376,115613.87787785068
178,"League City & Friendswood City PUMA, TX",60136.02336418373,Other Sales Workers,474129.3920972644,46439.11797243441
179,"District of Columbia (Central) PUMA, DC",60127.05867893682,Advertising sales agents,260105.29460580912,59021.9754631948
180,"Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek PUMA, AZ",60090.307006433424,Training & development specialists,417395.9726027397,51927.48752447238
181,"Seattle City (Northwest) PUMA, WA",60036.23029229898,Procurement clerks,527823.5609756098,54550.11160513914
182,"Hempstead Town (East Central) PUMA, NY",60032.09927355594,Firstline supervisors of nonretail sales workers,242270.93481989708,70776.29211066732
183,"Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA, MA",59949.650482646925,Human resources managers,317153.99019607843,72391.03540336741
184,"Woodlawn, Rose Hill & Mount Vernon PUMA, VA",59946.57802355294,Firstline supervisors of production & operating workers,506548.5084745763,52761.15422880404
185,"Annapolis City, Parole, Annapolis Neck & Edgewater PUMA, MD",59882.24192755704,Other financial specialists,508574.6909090909,98080.72862112064
186,"Chinatown & Lower East Side PUMA, NY",59833.938568341524,Computer network architects,668644.0325203252,95432.99220300168
187,"Austin City (Southwest), Lost Creek & Barton Creek PUMA, TX",59818.460197535016,Astronomers & physicists,474129.40880503145,84055.70255182173
188,"Boca Raton City & Highland Beach Town PUMA, FL",59761.31398948775,Travel agents,482234.2048192771,29475.76372948768
189,"Burke PUMA, VA",59756.7957338026,Other healthcare practitioners & technical Occupations,506548.5070422535,50832.997136739934
190,"Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA, NJ",59691.16848746828,Personal financial advisors,645342.8387096775,110943.36940078795
191,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804612)",59649.40927609472,Tax preparers,474129.40625,29580.191946286617
192,"New City & Congers PUMA, NY",59629.793895058116,Biological scientists,668644.0258064516,59556.86879827084
193,"North of FM-1960, West of I-45 & East of TX-249 PUMA, TX",59618.76658281739,"Shipping, receiving, & traffic clerks",474129.417721519,25653.37673230873
194,"West Hollywood & Beverly Hills Cities PUMA, CA",59601.186041085166,Personal financial advisors,336960.2833333333,110943.36940078795
195,"King of Prussia & Ardmore (East) PUMA, PA",59555.56939266856,"Industrial engineers, including health & safety",492365.15555555554,72963.74519021867
196,"San Jose City (Northwest) PUMA, CA",59395.80669802388,Athletes and sports competitors,572399.8206278026,46411.686201251
197,"Novato & San Rafael (North) Cities PUMA, CA",59300.25991711757,Network and computer systems administrators,317099.3623188406,70080.64245976007
198,"Broomall & Ardmore (West) PUMA, PA",59212.80294462118,Natural sciences managers,492365.17647058825,87041.6083510504
199,"Centreville (North & West) & Chantilly (South & West) PUMA, VA",59183.296343788206,Human resources managers,506548.4878048781,72391.03540336741
200,"Fort Bend County (West & South) PUMA, TX",59173.53183708914,Economists,474129.41353383457,114682.51872642573
201,"South Plainfield & Middlesex Boroughs PUMA, NJ",59022.66634794342,Cardiovascular technologists and technicians,645342.8051948051,76805.666221549
202,"Hempstead Town (Northeast) PUMA, NY",58999.770290423745,Chief executives & legislators,327475.82081911265,141283.83645852594
203,"Frisco (West), The Colony & Little Elm Cities PUMA, TX",58876.55788424457,"Securities, commodities, & financial services sales agents",345547.7943548387,116457.02855852002
204,"Point Pleasant Borough PUMA, NJ",58763.580145444146,Stationary engineers & boiler operators,645342.8461538461,52943.046979418286
205,"Hockessin PUMA, DE",58745.396003220485,Phlebotomists,482234.208588957,25624.92292170621
206,"Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA, CT",58690.101547828606,Radiologic technologists and technicians,303929.1002865329,56736.64149052558
207,"Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA, MA",58622.20696728726,Other financial clerks,506326.6423357664,76459.69278730197
208,"Ela, Freemont, Wauconda & Cuba Townships PUMA, IL",58597.58191460229,"Miscellaneous first-line supervisors, protective service workers",550111.6888888889,56702.29217997607
209,"Shoreline, Kenmore & Bothell (South) Cities PUMA, WA",58540.53610618313,Nurse practitioners & nurse midwives,527823.5769230769,87225.35349109002
210,"DuPage & Wheatland Townships PUMA, IL",58532.88319923252,Aircraft pilots & flight engineers,550111.6994219653,115613.87787785068
211,"Woodbury & Cottage Grove Cities PUMA, MN",58496.858363841086,Physicians,383203.9565217392,206831.79290917717
212,"Lyndhurst, Mayfield Heights, Shaker Heights & Solon Cities PUMA, OH",58467.40736805257,Other financial specialists,437657.9428571428,98080.72862112064
213,"Rockville, Gaithersburg Cities & North Potomac PUMA, MD",58442.54227600362,Physicians,280582.39431818185,206831.79290917717
214,"District of Columbia (Northeast) PUMA, DC",58347.952986350036,Judicial law clerks,676748.8,45501.206595896656
215,"Saratoga County (Outer) PUMA, NY",58331.363151530335,Nuclear medicine technologists and medical dosimetrists,668644.031496063,132946.1370184876
216,"Niles & Evanston Townships PUMA, IL",58290.08512427926,Sales managers,550111.6923076923,106611.873312147
217,"Lyons & Stickney Townships PUMA, IL",58196.98212168647,Radiologic technologists and technicians,550111.7014925373,56736.64149052558
218,"St. Louis County (West) PUMA, MO",58194.83616995447,Surgeons,421448.3571428572,282720.32402206364
219,"Annandale, West Falls Church & Bailey's Crossroads PUMA, VA",58151.916660718,Dentists,284992.7102803738,127707.80053807772
220,"Milpitas & San Jose (Northeast) Cities PUMA, CA",58148.9841159484,Radio & telecommunications equipment installers & repairers,365499.264516129,44276.66890565007
221,"Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA, OR",58026.48573830932,Chemical engineers,319292.5421245421,95707.39540394994
222,"Dutchess County (North & East) PUMA, NY",58013.71423122066,Producers & directors,668644.0,65061.10863708074
223,"Orland (West & Central), Palos & Lemont Townships PUMA, IL",57989.30310106135,Administrative services managers,550111.6712328767,65180.52933783396
224,"LA City (Central/Hancock Park & Mid-Wilshire) PUMA, CA",57941.925553686495,"Miscellaneous community & social service specialists, including health educators & community health workers",572399.8208955224,35919.69688191546
225,"Maple Valley, Covington & Enumclaw Cities PUMA, WA",57917.35451410514,Other healthcare practitioners & technical Occupations,401344.734375,50832.997136739934
